timestamp,aqi_Anand_vihar,aqi_Dilshad_garden,aqi_Mandir_marg,aqi_Nsit_dwarka,aqi_Rk_puram,aqi_Shadipur
01-01-2018 00:00,787.0,399.46153849999996,493.86046510000006,524.0209302000001,651.9534884,545.0488372000001
01-01-2018 01:00,787.0,394.0,491.5581395,481.044186,607.4418605000001,542.8232558
01-01-2018 02:00,874.0,397.3076923,538.372093,535.3790698,558.3255813999999,549.5
01-01-2018 03:00,863.0,366.3846154,575.2093022999999,505.37209299999995,511.5116279,556.6372093
01-01-2018 04:00,755.0,321.53846150000004,595.9302326000001,452.34186050000005,471.60465120000003,572.5232557999999
01-01-2018 05:00,688.0,308.7692308,595.9302326000001,410.7465116,438.60465120000003,579.3534884
01-01-2018 06:00,419.0,210.33333330000002,608.2093022999999,367.0,437.0697674,477.5906977
01-01-2018 07:00,389.0,177.33333330000002,437.83720930000004,340.2307692,443.9767442,406.755814
01-01-2018 08:00,384.0,191.66666669999998,423.255814,317.46153849999996,387.1538462,399.3076923
01-01-2018 09:00,401.0,260.6666667,439.37209299999995,320.2307692,391.7692308,399.6923077
01-01-2018 10:00,430.0,311.1538462,475.4418605,370.9230769,384.8461538,398.2307692
01-01-2018 11:00,430.0,361.46153849999996,518.4186047000001,416.5023256,473.9069767,460.0930233
01-01-2018 12:00,717.0,448.427907,566.7674419,403.6860465,435.5348837,462.472093
01-01-2018 13:00,673.0,431.85116280000005,533.0,427.86046510000006,380.2307692,477.5906977
01-01-2018 14:00,673.0,395.3846154,475.4418605,428.85813949999994,369.46153849999996,499.7697674
01-01-2018 15:00,445.0,366.9230769,476.9767442,387.9230769,321.0,497.6976744
01-01-2018 16:00,376.0,347.0769231,449.34883719999993,404.45348839999997,287.6666667,506.0627907
01-01-2018 17:00,395.0,197.775701877367,432.4651163,456.94651160000006,467.7674419,501.45813949999996
01-01-2018 18:00,431.0,359.0,467.0,428.62790700000005,469.3023256,465.54186050000004
01-01-2018 19:00,519.0,369.6153846,480.04651160000003,442.13488370000005,438.60465120000003,456.4860465
01-01-2018 20:00,600.0,197.775701877367,483.11627910000004,476.05581399999994,450.88372089999996,511.5883721
01-01-2018 21:00,587.0,405.6813953,494.62790700000005,474.36744189999996,459.3255813999999,518.8790698
01-01-2018 22:00,681.0,381.0,477.744186,475.8255813999999,473.9069767,486.87674419999996
01-01-2018 23:00,558.0,338.9230769,453.1860465,438.06744189999995,506.13953489999994,498.92558139999994
02-01-2018 00:00,449.0,308.6153846,477.744186,394.0,509.9767442,508.9023256
02-01-2018 01:00,440.0,215.66666669999998,477.744186,396.8461538,562.1627907000001,490.33023260000004
02-01-2018 02:00,461.0,258.0,445.5116279,400.8461538,456.255814,450.5767442
02-01-2018 03:00,423.0,240.0,427.86046510000006,422.94883719999996,443.9767442,450.7302326
02-01-2018 04:00,399.0,218.33333330000002,451.65116280000007,427.86046510000006,439.37209299999995,485.87906979999997
02-01-2018 05:00,391.0,219.66666669999998,454.7209302,412.6651163,487.7209302,507.2139535
02-01-2018 06:00,382.0,165.33333330000002,437.0697674,400.6923077,513.8139535,467.9976744
02-01-2018 07:00,365.0,136.0,418.6511628,372.3846154,513.8139535,449.1953488
02-01-2018 08:00,375.0,197.775701877367,426.3255813999999,360.9230769,499.2325581,461.0906977
02-01-2018 09:00,424.0,282.3333333,437.0697674,359.53846150000004,524.5581394999999,470.0697674
02-01-2018 10:00,424.0,283.0,470.0697674,392.6153846,489.255814,420.1860465
02-01-2018 11:00,424.0,332.7692308,495.39534879999997,423.5627907,459.3255813999999,432.6953488
02-01-2018 12:00,424.0,345.7692308,516.1162791,416.1953488,456.255814,443.05581399999994
02-01-2018 13:00,568.0,360.2307692,518.4186047000001,197.775701877367,404.83720930000004,457.7906977
02-01-2018 14:00,543.0,334.0769231,461.62790700000005,389.0,407.9069767,459.55581399999994
02-01-2018 15:00,509.0,353.0769231,453.1860465,385.7692308,429.39534879999997,455.94883719999996
02-01-2018 16:00,514.0,332.0769231,457.7906977,371.0769231,390.2307692,476.36279069999995
02-01-2018 17:00,509.0,338.6923077,460.86046510000006,374.6153846,398.6923077,475.74883719999997
02-01-2018 18:00,509.0,331.3076923,464.6976744,398.6153846,434.7674419,398.0769231
02-01-2018 19:00,542.0,325.53846150000004,459.3255813999999,387.6923077,476.2093023,402.9953488
02-01-2018 20:00,674.0,337.1538462,461.62790700000005,433.61627910000004,526.8604651,478.43488370000006
02-01-2018 21:00,660.0,361.0769231,454.7209302,463.16279069999996,624.3255813999999,499.38604649999996
02-01-2018 22:00,692.0,359.53846150000004,468.5348837,428.93488370000006,665.7674419,450.11627910000004
02-01-2018 23:00,513.0,350.53846150000004,462.39534879999997,407.6,558.3255813999999,450.9604651000001
03-01-2018 00:00,502.0,324.3076923,433.2325581,411.97441860000004,490.7906977,415.96511630000003
03-01-2018 01:00,370.0,279.3333333,417.88372089999996,383.8461538,414.8139535,389.2307692
03-01-2018 02:00,354.0,197.775701877367,355.6153846,373.53846150000004,374.8461538,341.2307692
03-01-2018 03:00,354.0,304.46153849999996,348.6923077,379.7692308,324.0769231,335.53846150000004
03-01-2018 04:00,354.0,301.8461538,339.46153849999996,356.6153846,331.0,333.6923077
03-01-2018 05:00,366.0,273.0,348.6923077,348.8461538,320.2307692,322.3846154
03-01-2018 06:00,358.0,276.0,342.53846150000004,316.2307692,315.6153846,315.7692308
03-01-2018 07:00,358.0,309.46153849999996,343.3076923,322.1538462,322.53846150000004,315.7692308
03-01-2018 08:00,358.0,285.0,340.2307692,326.8461538,327.9230769,311.7692308
